"","Date","UFOs"
"679","02/1960","3"
"680","01/1960","1"
"681","12/1959","3"
"682","11/1959","2"
"683","10/1959","7"
"684","09/1959","3"
"685","08/1959","8"
"686","07/1959","11"
"687","06/1959","20"
"688","05/1959","4"
"689","04/1959","3"
"690","03/1959","2"
"691","01/1959","1"
"692","11/1958","2"
"693","10/1958","3"
"694","09/1958","7"
"695","08/1958","5"
"696","07/1958","9"
"697","06/1958","25"
"698","05/1958","4"
"699","04/1958","3"
"700","02/1958","1"
"701","01/1958","3"
"702","12/1957","1"
"703","11/1957","3"
"704","10/1957","9"
"705","09/1957","9"
"706","08/1957","13"
"707","07/1957","16"
"708","06/1957","24"
"709","05/1957","3"
"710","04/1957","1"
"711","03/1957","4"
"712","01/1957","1"
"713","12/1956","1"
"714","11/1956","2"
"715","10/1956","4"
"716","09/1956","4"
"717","08/1956","2"
"718","07/1956","7"
"719","06/1956","25"
"720","05/1956","3"
"721","03/1956","3"
"722","02/1956","1"
"723","01/1956","2"
"724","10/1955","5"
"725","09/1955","1"
"726","08/1955","5"
"727","07/1955","6"
"728","06/1955","20"
"729","05/1955","2"
"730","03/1955","1"
"731","02/1955","2"
"732","01/1955","1"
"733","12/1954","2"
"734","11/1954","2"
"735","10/1954","3"
"736","09/1954","3"
"737","08/1954","7"
"738","07/1954","12"
"739","06/1954","25"
"740","05/1954","2"
"741","04/1954","1"
"742","02/1954","3"
"743","01/1954","4"
"744","11/1953","4"
"745","10/1953","2"
"746","09/1953","1"
"747","08/1953","6"
"748","07/1953","6"
"749","06/1953","9"
"750","05/1953","2"
"751","04/1953","6"
"752","03/1953","1"
"753","01/1953","2"
"754","12/1952","2"
"755","10/1952","5"
"756","09/1952","2"
"757","08/1952","5"
"758","07/1952","17"
"759","06/1952","23"
"760","05/1952","2"
"761","04/1952","2"
"762","02/1952","2"
"763","01/1952","1"
"764","12/1951","1"
"765","11/1951","1"
"766","10/1951","1"
"767","08/1951","2"
"768","07/1951","7"
"769","06/1951","7"
"770","05/1951","1"
"771","04/1951","1"
"772","03/1951","1"
"773","02/1951","3"
"774","01/1951","1"
"775","12/1950","1"
"776","10/1950","2"
"777","08/1950","2"
"778","07/1950","7"
"779","06/1950","17"
"780","05/1950","1"
"781","04/1950","2"
"782","03/1950","1"
"783","01/1950","2"
"784","10/1949","3"
"785","09/1949","2"
"786","08/1949","4"
"787","07/1949","3"
"788","06/1949","5"
"789","05/1949","2"
"790","04/1949","1"
"791","12/1948","1"
"792","11/1948","1"
"793","10/1948","1"
"794","08/1948","2"
"795","07/1948","1"
"796","06/1948","6"
"797","05/1948","1"
"798","04/1948","1"
"799","12/1947","1"
"800","10/1947","3"
"801","08/1947","5"
"802","07/1947","22"
"803","06/1947","12"
"804","04/1947","2"
"805","02/1947","1"
"806","01/1947","3"
"807","12/1946","1"
"808","09/1946","2"
"809","07/1946","1"
"810","06/1946","4"
"811","03/1946","1"
"812","02/1946","1"
"813","01/1946","1"
"814","12/1945","1"
"815","08/1945","2"
"816","07/1945","2"
"817","06/1945","6"
"818","05/1945","1"
"819","04/1945","1"
"820","01/1945","1"
"821","09/1944","1"
"822","08/1944","1"
"823","07/1944","2"
"824","06/1944","4"
"825","04/1944","2"
"826","03/1944","1"
"827","01/1944","3"
"828","10/1943","1"
"829","09/1943","1"
"830","08/1943","3"
"831","06/1943","3"
"832","04/1943","1"
"833","01/1943","1"
"834","11/1942","1"
"835","07/1942","1"
"836","06/1942","1"
"837","02/1942","2"
"838","07/1941","2"
"839","06/1941","2"
"840","06/1940","1"
"841","07/1939","1"
"842","06/1939","2"
"843","08/1937","1"
"844","06/1937","1"
"845","10/1936","1"
"846","09/1936","1"
"847","07/1936","1"
"848","06/1935","1"
"849","05/1935","1"
"850","01/1935","1"
"851","09/1934","1"
"852","04/1933","1"
"853","11/1932","1"
"854","10/1931","1"
"855","06/1931","1"
"856","02/1931","1"
"857","09/1930","1"
"858","08/1930","1"
"859","06/1930","3"
"860","07/1929","1"
"861","12/1925","1"
"862","12/1922","1"
"863","06/1920","2"
"864","10/1917","1"
"865","04/1916","1"
"866","09/1914","1"
"867","06/1910","1"
"868","05/1910","1"
"869","01/1910","1"
"870","11/1906","1"
"871","07/1905","1"
"872","06/1899","1"
"873","04/1897","2"
"874","06/1896","1"
"875","10/1886","1"
"876","12/1880","1"
"877","06/1871","1"
"878","06/1865","1"
"879","05/1864","1"
"880","03/1861","1"
"881","08/1860","1"
"882","06/1838","1"
"883","04/1800","1"
"884","06/1790","1"
"885","05/1788","1"
"886","12/1762","1"
"887","07/1615","1"
"888","04/1561","1"
"889","06/1400","1"
"890","11/1016","1"
"891","UNSPECIFIED / APPROXIMATE","252"
